0,1,2
917 S Main St Joplin,Missouri 64802,
531 Kentucky Ave Joplin,Missouri 64801,
1119 Merchant Emporia,Kansas 66801,
418 Market Street Emporia,Kansas 66801,
802 N 5th St Garden City,Kansas 67846,
400 West 2nd Hutchinson,Kansas 67501,
212 1/2 West Laurel Independence,Kansas 67301,
3721 Delridge Independence,Missouri 64055,
14700 E Truman Rd Independence,Missouri 64050,
1015 N Washington Liberal,Kansas 67901,
600 N. Kansas Ave. Topeka,Kansas 66608,
600 N. Kansas Topeka,Kansas 66608,
900 West Broadway Building 7 Newton,Kansas 67114,
P.O. Box 754 Harrisonville,Missouri 64701,
841 N. Broadway Wichita,Kansas 67214,
320 E Central Wichita,Kansas 67202,
402 E. 2nd Street Wichita,Kansas 67202,
2800 N. Hillside St. Wichita,Kansas 67219,
100 S Main St Carthage,Missouri 64836,
1716 Summers Road Salina,Kansas 67402,
P.O. Box 375 Madison,South Dakota 57042,
10955 Watertank Road Belle Fourche,South Dakota 57717,
615 Kansas City St Rapid City,South Dakota 57701,
30 Main Street Rapid City,South Dakota 57701,
1301 E Austin S Sioux Falls,South Dakota 57103,
101 N. Indiana Ave Sioux Falls,South Dakota 57103,
200 N. Weber Avenue Sioux Falls,South Dakota 57102,
P.O. Box 431 Burke,South Dakota 57523,
823 Dupree St. Eagle butte,South Dakota 57625,
P.O. Box 398 Pierre,South Dakota 57501,
700 1st Avenue E Lemmon,South Dakota 57638,
P.O. Box 245 Lemmon,South Dakota 57638,
address withheld Mitchell,South Dakota 57301,
1 Veterans Drive Pine Ridge,South Dakota 57770,
202 5th Street SE Watertown,South Dakota 57201,
412 E. 4th Street Yankton,South Dakota 57078,
529 16th Avenue North St. Cloud,Minnesota 56303,
2202 Stevens Street Albert Lea,Minnesota 56007,
409 1st Ave NE Austin,Minnesota 55912,
3300 4th Avenue North #14 Anoka,Minnesota 55303,
525 North 7th St Minneapolis,Minnesota 55405,
401 North 7th St Minneapolis,Minnesota 55405,
177 Glenwood Avenue North Minneapolis,Minnesota 55405,
165 Glenwood Avenue Minneapolis,Minnesota 55405,
1010 Currie Ave Minneapolis,Minnesota 55403,
614 Third Street South Minneapolis,Minnesota 55415,
215 South 8th Street Minneapolis,Minnesota 55402,
510 South 8th Street Minneapolis,Minnesota 55404,
2309 Nicollet Avenue South Minneapolis,Minnesota 55404,
2315 Chicago Ave. So. Minneapolis,Minnesota 55404,
2740 1st Ave S Minneapolis,Minnesota 55408,
2740 1st Ave S Minneapolis,Minnesota 55404,
14383 Forest Blvd. N. Hugo,Minnesota 55038,
1121 East 46th  Street Minneapolis,Minnesota 55407,
1088 University Ave W St. Paul,Minnesota 55104,
435 East University Avenue St. Paul,Minnesota 55101,
435 Dorothy Day Place St. Paul,Minnesota 55102,
435 University Ave E St. Paul,Minnesota 55130,
244 Tenth Street East Saint Paul,Minnesota 55101,
183 Old Sixth Street Saint Paul,Minnesota 55102,
77 E 9th Street St. Paul,Minnesota 55101,
2001 Van Dyke Street Maplewood,Minnesota 55109,
310 S. Ashland St. South Cambridge,Minnesota 55008,
3430 Wescott Woodlands Eagan,Minnesota 55123,
7800 West County Road 42 Apple Valley,Minnesota 55124,
400 U.S. Highway 10 S. St Cloud,Minnesota 56304,
525 Mississippi Ave NW Bemidji,Minnesota 56601,
525 Mississippi Avenue Bemidji,Minnesota 56601,
414 Lincoln Ave SE Bemidji,Minnesota 56601,
919 Hood Street La Crosse,Wisconsin 54601,
1910 3rd St W Duluth,Minnesota 55806,
125 North 1st Avenue West Duluth,Minnesota 55802,
219 East First Street Duluth,Minnesota 55802,
220 East 3rd Street Crookston,Minnesota 56716,
250 East Main Street Owatonna,Minnesota 55060,
501 SW 1st Ave Grand Rapids,Minnesota 55744,
811 7th Street NW Rochester,Minnesota  5590,
703 1st SW Rochester,Minnesota 55902,
419 S. Broad Street Mankato,Minnesota 56001,
423 S. Broad St Mankato,Minnesota 56001,
606 Center St New Ulm,Minnesota 56073,
802 W Broadway St Winona,Minnesota 55987,
354 Public Square Greenfield,Iowa 50849,
304 Chestnut Atlantic,Iowa 50022,
3333 E. University Ave Des Moines,Iowa 50317,
1310 6th Ave Des Moines,Iowa 50314,
1420 Mulberry Street Des Moines,Iowa 1420 ,
2301 Hickman Road Des Moines,Iowa 50310,
225 S. Kellogg Ave Ames,Iowa 50010,
Address Confidential Ames,Iowa 50010,
3015 12th Avenue SW Cedar Rapids,Iowa 52404,
603 Second Street S.W. Cedar Rapids,Iowa 52404,
318 5th Street SE Cedar Rapids,Iowa 52401,
1027 5th Avenue SE Cedar Rapids,Iowa 52403,
1247 4th Avenue SE Cedar Rapids,Iowa 52403,
211 Park Ct SE Cedar Rapids ,Iowa 52403,
429 Southgate Avenue Iowa City,Iowa 52240,
100 Kirkwood Blvd Davenport,Iowa 52801,
2209 3rd ave Rock Island,Illinois 61201,
824 West 3rd Street Davenport,Iowa 52802,
1016 West 5th Street Davenport,Iowa 52802,
505 9th Ave. S. Clinton,Iowa 52732,
217 6th Avenue South Clinton,Iowa 52731,
123 Marshall St Burlington,Iowa 52601,
222 Logan Ave Waterloo,Iowa 50703,
216 Logan Ave Waterloo,Iowa 50703,
1003 Mulberry St. WATERLOO,Iowa 50703,
1003 Mulberry St Waterloo ,Iowa 50703,
420 16th St. NW Waverly,Iowa 50677,
307 N Monroe Mason City,Iowa 50401,
311 N Monroe Mason City ,Iowa 50401,
Adams Ave and 2nd Street SW Mason City,Iowa 50401,
202 1st Street NW Mason City,Iowa 50401,
420 3rd St. Mason City,Iowa 50401,
1592 Locust St Dubuque,Iowa 52001,
1111 Bluff Street Dubuque,Iowa 52001,
1561 Jackson Street Dubuque,Iowa 52001,
398 Main Street Dubuque,Iowa 52004,
PO Box 639 Platteville,Wisconsin 53818,
80 Market St Platteville,Wisconsin 53818,
1345 Water Street Platteville,Wisconsin 53818,
1021 1st Av. N Fort Dodge,Iowa 50501,
312 Iowa Ave Muscatine,Iowa 52761,
222 E 12 Street Ada,Oklahoma 74820,
1212 Harris St. Ardmore,Oklahoma 73401,
11 A. St. NW Ardmore,Oklahoma 73401,
822 Johnstone Ave Bartlesville, 74003,
1411 West Hensley Boulevard   Bartlesville,Oklahoma 74003,
4352 S 91st E Ave Tulsa,Oklahoma 74145,
1048 Louisville ave. Tulsa,Oklahoma 74115,
311 South Madison Tulsa,Oklahoma 74120,
102 N. Denver Avenue Tulsa,Oklahoma 74103,
415 W. Archer Street Tulsa,Oklahoma 74103,
506 N. Cheyenne Ave Tulsa,Oklahoma 74103,
2401 Charles Page Blvd Tulsa,Oklahoma 74127,
215 East 4th Street Chandler,Oklahoma 74834,
416 N 7th Avenue Stroud,Oklahoma 74079,
39604 W. Independence P.O. Box 3044 Shawnee,Oklahoma 74802,
P.O. Box 3044 Shawnee,Oklahoma 74802,
323 Callahan Muskogee,Oklahoma 74403,
214 W Main Street Marlow,Oklahoma  73055,
8712 EAST MAIN STREET MIDWEST CITY,Oklahoma 73110,
1001 N Pennsylvania Ave Oklahoma City,Oklahoma 731073107,
not disclosed Oklahoma City,Oklahoma ,
800 W. California Ave Oklahoma City,Oklahoma 73106,
1335 West Sheridan Avenue Oklahoma City,Oklahoma 73106,
616 NW 21 St Oklahoma City,Oklahoma 73103,
2205 Exchange Avenue Oklahoma City,Oklahoma 73108,
3131 N Pennsylvania oklahoma city,Oklahoma 73112,
7 N. Broadway Edmond,Oklahoma 73034,
P.O. Box 5089 Norman,Oklahoma  73070,
104 W Comanche St Norman,Oklahoma 73069,
700 Asp Ste. 2 Norman,Oklahoma 73069,
1004 N 5th Duncan,Oklahoma 73533,
815 W. Maine Enid,Oklahoma 73701,
214 N Morton Ave Okmulgee,Oklahoma 74447,
709 E. Brewer Salina,Oklahoma 74365,
1402 N Inglewood St Siloam Springs,Arkansas 72761,
1804 S.Perkins Rd. Stillwater,Oklahoma 74074,
409 North Ellison Street Guymon,Oklahoma 73942,
805 Washington Clarksville,Texas 75426,
901 SW E Avenue Lawton ,Oklahoma 73501,
1203 SW Texas Ave Lawton,Oklahoma 73501,
1619 N. Vinita Tahlequah,Oklahoma 74465,
20 E Cherokee Ave McAlester,Oklahoma 74501,
904 North 9th Street McAlester,Oklahoma 74501,
1210 E. Cherokee McAlester,Oklahoma 74501,
5603 S 14th St Fort Smith,Arkansas 72901,
3015 South 14th Street Fort Smith,Arkansas 72901,
301 South E Street Fort Smith,Arkansas 72901,
301 North 6th Street Fort Smith,Arkansas 72901,
310 N. F Street Fort Smith,Arkansas 72901,
3900 North Armour Avenue Fort Smith,Arkansas 72904,
201 Drennen St Van Buren,Arkansas 72956,
1220 7th Street Woodward,Oklahoma 73801,
1404 Murray Street ALEXANDRIA,Louisiana 71301,
2807 Levin Street Alexandria,Louisiana 71301,
2804 Hynson Street Alexandria,Louisiana 71301,
29 Bolton Ave Alexandria,Louisiana 71301,
620 Beauregard Alexandria,Louisiana 71301,
CONFIDENTIAL ALEXANDRIA,Louisiana 71301,
81 & 85 Rainbow Drive Pineville,Louisiana 71360,
CONFIDENTIAL Hammond,Louisiana 70402,
Confidential Livingston,Louisiana 70754,
CONFIDENTIAL Ruston,Louisiana 71270,
104 Fuller Street Minden,Louisiana 71055,
815 Avenue F Bogalusa,Louisiana 70427,
P.O. Box 1179 SLIDELL,Mandeville 70470,
525 Crockett St. Shreveport,Louisiana ,
901 McNeil St Shreveport,Louisiana 71101,
901 McNeil St Shreveport,Louisiana 71101,
700 Pierre Avenue Shreveport,Louisiana 71101,
147 E Stoner Ave Shreveport,Louisiana 71101,
814 Cotton Street Shreveport,Louisiana 71101,
1109 Highland Avenue Shreveport,Louisiana ,
740 Austin Place Shreveport,Louisiana 71101,
762 Austen Pl Shreveport,Louisiana 71101,
1244 Sprague St. Shreveport,Louisiana 71161,
3000 Knight St Bldg 5 Suite 100 Shreveport,Louisiana 71105,
2033 Texas Avenue Shreveport,Louisiana 71103,
2350 Levy Street Shreveport,Louisiana 71103,
7361 Airline Highway Baton Rouge,Louisiana 70802,
1750 Laurel St Baton Rouge,Louisiana 70821,
1270 Laurel Street Baton Rouge,Louisiana 70802,
1272 Laurel St. Baton Rouge,Louisiana 70802,
1623 Convention St Baton Rouge,Louisiana 70802,
153 North 17th Street Baton Rouge,Louisiana 70802,
1050 Convention St. Baton Rouge,Louisiana 70802,
260 South Acadian Thruway BATON ROUGE,Louisiana 70802,
130 South 11th Street Baton Rouge,Louisiana 70802,
737 East Blvd Baton Rouge,Louisiana 70802,
Confidential Gonzales,Louisiana 70737,
7200 Desaird St. Monroe,Maine 71203,
1900 Garret Rd. Monroe,Louisiana 8422,
807 Desiard St. Monroe,Louisiana 71202,
Confidential Monroe,Louisiana 71291,
SCATTERED SITE APTS: Monroe,Louisiana 71201,
1453 W Willow St Lafayette,Louisiana 1026,
425 ST. JOHN ST. LAFAYETTE,Louisiana 70501,
501 St. John Street Lafayette,Louisiana 70501,
PO Box 2747 Lafayette,Louisiana 70502,
Confidential St. Martinville,Louisiana 70582,
307 Robertson Street New Iberia,Louisiana 70560,
PO Box 10207 New Iberia,Louisiana 70562,
404 W Admiral Doyle New Iberia,Louisiana 70560,
704 W. South Street Opelousas,Louisiana 70570,
3020 Legion St New Orleans,Louisiana 70056,
P.O. Box 871371 New Orleans,Louisiana 70187,
2824 Dauphine St New Orleans,Louisiana 70117,
611 North Rampart Street New Orleans,Louisiana 3505,
843 Camp St New Orleans,Louisiana 70130,
1160 Camp Street New Orleans,Louisiana 4202,
1130 Oretha Castle Haley Blvd New Orleans,Louisiana 70113,
1528 Oretha Castle Haley Blvd New Orleans,Louisiana ,
1125 North Tonti Street New Orleans,Louisiana 70119,
2020 S Liberty St New Orleans,Louisiana 70113,
1401 Delachaise Street New Orleans,Louisiana 3520,
4526 S Claiborne Ave NEW ORLEANS,Louisiana 70125,
1101 Barataria Blvd Marrero,Louisiana 70072,
1108 Barataria Blvd Marrero,Louisiana 70072,
200 Jefferson Highway Jefferson,Louisiana 70121,
1727 Green Street Jeffersonville,Indiana 47130,
13201 River Road Luling,Louisiana 70070,
2515 Carey St. Slidell,Louisiana 3911,
1020 Buccaran Dr SLIDELL,Louisiana 70458,
Confidential Crowley,Louisiana 70526,
24292 Crowley Eunice Hwy Crowley,Louisiana 70526,
CONFIDENTIAL LEESVILLE,Louisiana 71446,
801 Main St Franklin,Louisiana 70538,
1407 Barrow St. Franklin,Louisiana 3514,
300 Bond Street Houma,Louisiana 70360,
8424 Main Street Houma,Louisiana 70363,
116 Byrd Lane Hahnville,Louisiana 70057,
2400 Merganser Street Lake Charles,Louisiana 70615,
3020 Legion Street Lake Charles,Louisiana 70615,
2119 Oak Park Boulevard Lake Charles,Louisiana 70601,
1414 Martha St. Lake Charles,Louisiana 70602,
P.O. Box 820138 Vicksburg,Mississippi 39182,
109 South Union St Natchez,Mississippi 39120,
Highway 96 PO Box 48 Cecil,Arkansas 72930,
Post Office Box 966 Malvern,Arkansas 72104,
244 Anatole Loop Hot Springs,Arkansas 71901,
339 Charteroak Hot Springs,Arkansas 71901,
131 Sanford St Hot Springs,Arkansas 71901,
1309 West Grand Hot Springs,Arkansas 71913,
110 Crescent Ave Hot Springs,Arkansas 71901,
PO Box 22085 Hot Springs,Arkansas 71903-2085,
Post Office Box 8177 Hot Springs,Arkansas 71910,
110 Highrise Circle Hot Springs,Arkansas 71901,
3204 E. Moore Street Searcy,Arkansas 72143,
301 E. Market Street Searcy,Arkansas 72143,
PO Box 1196 Searcy,Arkansas 72145,
1417 Dewey Avenue Newport,Arkansas 72112,
Post Office Box 304 Newport,Arkansas 72112,
 360 W Main St Batesville,Arkansas 72503,
Post Office Box 954 Heber Springs,Arkansas 72543,
1500 Navajo Trail Lonoke,Arkansas 72086,
2200 East Broadway North Little Rock, 72114,
615 Magnolia N. Little Rock,Arkansas 72114,
Post Office Box 1954 Little Rock,Arkansas 72203,
222 East 8th Street Little Rock,Arkansas 72202,
3000 Confederate Blvd Little Rock,Arkansas 72204,
3000 Springer Blvd Little Rock,Arkansas 72206,
302 E Roosevelt Rd Little Rock,Arkansas 72206,
808 N. Main St. Bentonville,Arkansas 72712,
250 E. Centerton Blvd. Centerton,Arkansas 72719,
Post Office Box 572 Bentonville,Arkansas 72712,
2215 Little Flock Drive Rogers,Arkansas 72756,
3305 SW I Street Bentonville,Arkansas 72712,
14100 Vaughn Road Bentonville,Arkansas 72712,
1206 N. Second Street Rogers,Arkansas 72756,
1639 North Arkansas Street Rogers,Arkansas 72756,
1229 W. Poplar St. Rogers,Arkansas 72761,
Post Office Box 969 Rogers,Arkansas 72757,
615 West Chestnut Rogers,Arkansas 72756,
318 W. Elm Rogers,Arkansas 72756,
505 E. Emma Ave Springdale,Arkansas 72764,
4171 N. Crossover Road Fayetteville,Arkansas 72703,
8101 Frenchman's Lane Little Rock,Arkansas 72209,
2701 S. Elm Little Rock,Arkansas 72204,
4601 W. 7th Little Rock,Arkansas 72205,
823 S. Park Street Little Rock,Arkansas 72202,
1702 Gaines Street Little Rock,Arkansas 72206,
PO BOX 21066 Little Rock,Arkansas 72221,
1111 W. Markham Little Rock,Arkansas 72201,
2200 Fort Roots Drive North Little Rock,Arkansas 72114,
219 West 15th St Fayetteville,Arkansas 72701,
1832 S. School Ave Fayetteville,Arkansas 72701,
Post Office Box 1062 Blytheville,Arkansas 72315,
400 E Walnut St Blytheville,Arkansas 72316,
780 North College Blvd West Memphis,Arkansas 72301,
405A E Michigan St Stuttgart,Arkansas 72160,
301 S Grand Ave Suite 102 Stuttgart,Arkansas 72160,
Post Office 2557 Conway,Arkansas 72032,
1112 W Washington St Camden,Arkansas 71711,
P.O. Box 1546 El Dorado,Arkansas 71731,
419 South Madison El Dorado,Arkansas 71730,
317 West Walnut Paris,Arkansas 72855,
805 Cherry Street Clarksville,Arkansas 72850,
400 Lake Front Drive Russellville,Arkansas 72802,
PO Box 2066 Russellville,Arkansas 72811,
Post Office Box 806 Clinton,Arkansas 72031,
1115 Parkway Conway,Arkansas 72032,
Post Office Box 11348 Conway,Arkansas 72032,
721 South Trotter St Dermott,Arkansas 71638,
113 West Gaines St Monticello,Arkansas 71655,
PO Box 343 Blue Eye,Missouri 65611,
1201 Canal Avenue Wynne,Arkansas 72396,
104 East 10th Street Mountain Home,Arkansas 72653,
Post Office Box 1111 Mountain Home,Arkansas 72654,
121 HWY 201 North Mountain Home,Arkansas 72654,
600 E. Stephenson Harrison,Arkansas 72601,
#52 Highland Cove trc Highland,Arkansas 72542,
PO Box 148 Hatfield,Arkansas 71945,
Post Office Box 435 West Memphis,Arkansas 72303,
717 East Broadway West Memphis,Arkansas 72301,
104 Cypress Marion,Arkansas 72364,
606 W 3rd St Hope,Arkansas 71801,
Post Office Box 721 Jonesboro,Arkansas 72403,
800 Cate Street Jonesboro,Arkansas 72401,
4220 Stadium Blvd. Jonesboro,Arkansas 72404,
912 W Speedway St Trumann,Arkansas 72472,
5515 Old Walcott Rd. Paragould,Arkansas 72450,
901 E. Lake Paragould,Arkansas 72451,
Post Office Box 2058 Magnolia,Arkansas 71753,
515 West Monroe Magnolia,Arkansas 71753,
1032 Mullins St. #24 Magnolia,Arkansas 71753,
383 Poplar Avenue Memphis,Tennessee 38105,
393 Poplar Avenue Memphis,Tennessee 38105,
960 S. Third St. Memphis,Tennessee 38106,
1183 Madison Avenue Memphis,Tennessee 38104,
3630 Jackson Avenue Memphis,Tennessee 38108,
766 S Highland St Memphis,Tennessee 38111,
Post Office Box 8225 Pine Bluff,Arkansas 71611,
Post Office Box 6705 Pine Bluff,Arkansas 71611,
501 E. 12th Avenue Pine Bluff,Arkansas 71601,
334-336 South Sixth Street West Helena,Arkansas 72390,
226 SW 5th St Gainesville,Florida 32601,
413 S. Main St. Gainesville,Florida 32601,
not disclosed. Gainesville,Florida 32601,
3055 NE 28th Drive Gainesville,Florida 32609,
2313 North Orange Avenue Orlando,Florida 32804,
400 W Colonial Dr Orlando,Florida 32804,
624 Lexington Ave Orlando,Florida 32804,
3955 West Colonial Drive Orlando,Florida 32808,
18 N Terry Ave Orlando,Florida 32801,
639 W Central Blvd Orlando,Florida 32801,
410 W Central Blvd Orlando,Florida 32801,
5931 E Colonial Drive Orlando,Florida 32807,
1701 W 13th St Sanford,Florida 32771,
6215 Holly St Zellwood,Florida 32798,
16 W. St. Louis Ave. Eustis,Florida 32727,
330 N Beaumont Ave Kissimmee,Florida 34741,
259 W. Voorhis Ave.  DeLand,Florida 32720,
Polo Park Davenport,Florida 33897,
1033 E 14th St Stuart,Florida 34995,
234 W. State Street Jacksonville,Florida 32201,
800 Shetter Ave Jacksonville Beach,Florida 32250,
611 E Adams St Jacksonville,Florida 32202,
622 W Union St Jacksonville,Florida 32202,
622 West Union Street Jacksonville,Florida 32202,
613 West Ashley Street Jacksonville,Florida 32202,
3015 Parental Home Road Jacksonville,Florida 32216,
1009 1st St SW Ruskin,Florida 33575,
18240 Hwy 301 S Wimauma,Florida 33598,
1514 N. Florida Avenue Tampa,Florida 33602,
2301 North Tampa Street Tampa,Florida 33602,
310 14th Ave South St Petersburg,Florida 33701,
 3000 N. Florida Ave Tampa,Florida 33603,
701 5th Ave North St Petersburg,Florida 33701,
863 3rd Ave N St Petersburg,Florida 33701,
4202 N Nebraska Ave Tampa,Florida 33603,
4612 N. 56th Street Tampa,Florida 33610,
3835 28th St N St Petersburg,Florida 33714,
4428 E. Sligh Ave Tampa,Florida 33610,
6718 N Armenia Ave Tampa,Florida 33604,
8535 North Nebraska Avenue Tampa,Florida 33604,
PO BOX 41005 St Petersburg,Florida 33743,
11731 N. 15th Street Tampa,Florida 33612,
5726 126th Avenue North Clearwater,Florida 33760,
14840 49th St N Clearwater,Florida 33762,
P.O. Box 66676 St. Pete Beach,Florida 33736,
1204 14th Street West Bradenton,Florida 34205,
1812 E 143rd Ave #2 Tampa,Florida 33613,
P.O. Box 10594 Clearwater,Florida 33757,
1120 N. Betty Lane Clearwater ,Florida 33755,
29 W. Smith St Lakeland,Florida 33801,
1010 N Boulevard East Leesburg,Florida 34748,
115 N. 13th St. Leesburg,Florida 34748,
115 N. 13th Street  Leesburg,Florida 34748,
115 N 13th St Leesburg,Florida 34748,
1309 High Street Leesburg,Florida 34748,
1309 High Street #102 Leesburg,Florida 34748,
P.O. Box 339 Wauchula,Florida 33873,
1476 Kenesaw Street Port Charlotte,Florida 33948,
6919 OUTREACH WAY North Port,Florida 34287,
750 NW 8th Avenue Hallandale Beach,Florida 33009,
2020 Scott St Hollywood,Florida 33020,
4361 SW 25th Street Fort Lauderdale,Florida 33317,
2056 Scott Street Hollywood,Florida 33022,
3400 North 29th Avenue Hollywood,Florida 33020,
361 NW 67 St Miami,Florida 33138,
162 NE 49th St Miami,Florida 33137,
1445 W. Broward Blvd Fort Lauderdale,Florida 33312,
7450 W. Fourth Ave Hialeah,Florida 33014,
3620 NW 1st Ave Miami,Florida 33127,
920 NW 7th Avenue Ft Lauderdale,Florida 33311,
733 Breakers Avenue Fort Lauderdale,Florida 33304,
3033 NW 7th Ave Miami,Florida 33238,
920 NW 7 Avenue Fort Lauderdale,Florida 33311,
701 Lincoln Rd Miami Beach,Florida 33139,
2236 NW Miami Court Miami,Florida 33127,
2250 NW 1st Ave Miami,Florida 33127,
1100 N Andrews Ave Fort Lauderdale,Florida 33311,
1907 NW 38th Street Miami,Florida 33142,
2159 NW 1st Ct Miami,Florida 33127,
1550 N Miami Avenue Miami,Florida 33136,
1550 North Miami Avenue Miami,Florida 33136,
217 NW 15th St Miami,Florida 33136,
724 NW 17th St Miami,Florida 33127,
1603 NW 7th Avenue Miami,Florida 33136,
223 E Flagler St # 218 Miami,Florida 33131,
111 NW 1st St Miami,Florida 33128,
3217 NW 10th Terrace Suite 307 Fort Lauderdale,Florida 33309,
221 Northwest 43rd Court Oakland Park,Florida 33309,
7155 W Oakland Park Blvd Lauderhill,Florida 33319,
153 NW 12th Street Pompano Beach,Florida 33060,
1698 Blount Road Pompano Beach,Florida 33069,
1700 Blount Road Pompano Beach,Florida 33069,
300 SW 2nd Avenue Boca Raton,Florida 33432,
604 Lemon St Sebring,Florida 33870,
17 S Scenic Hwy Frostproof,Florida 33843,
140 East Park Ave Lake Wales,Florida 33853,
1060 US Highway 17 South Bartow,Florida 33830,
28205 SW 125 Avenue Homestead,Florida 33033,
not disclosed Belle Glade,Florida 33430,
1500 NW Avenue L Suite B Belle Glade, 33430,
5930 S.E. Robinson Road  Belleview,Florida 34420,
320 NW 1st Ave Ocala,Florida 34478,
435 NW 2nd Street Ocala,Florida 34478,
P.O. Box 205 Inverness,Florida 34451,
306 South Park Ave Inverness,Florida 34452,
21 S. Melbourne St. Beverly Hills,Florida 34465,
2488 North Pennsylvania Ave Crystal River,Florida 34428,
1991 Testcourt Dunnellon,Florida 34430,
7463 W. Grover Cleveland Blvd. Homosassa,Florida 34446,
1163 Howell Ave Brooksville,Florida 34601,
PO Box 10141 Brooksville,Florida 34603,
1090 Mondon Hill Rd.  Brooksville,Florida 34601,
820 Kennedy Blvd Brooksville,Florida 34601,
840 George Bush Boulevard Building D Delray Beach,Florida 33483,
145 NE 4th Avenue Boynton Beach,Florida 33435,
1750 NE Fourth Street Boynton Beach,Florida 33435,
291 N.E. 19th Avenue Boynton Beach,Florida 33435,
9538 Highway 441 Boynton Beach,Florida 33437,
4051 Kirk Road Lake Worth,Florida 33460,
Not disclosed Lake Worth,Florida 33460,
1712 2nd Ave North Lake Worth,Florida 33460,
1003 Allendale Road West Palm Beach,Florida 33405,
1577 North Military Trail West Palm Beach,Florida 33409,
2122 Palm Beach Lakes Blvd West Palm Beach,Florida 33409,
627 6t Street West Palm Beach,Florida 33401,
1320 Henrietta Ave West Palm Beach,Florida 33401,
2107 North Dixie Hwy. West Palm Beach,Florida 33407,
2808 N. Australian Ave West Palm Beach,Florida 33407,
2808 N Australian Avenue West Palm Beach,Florida 33407,
1000 45th St West Palm Beach,Florida 33407,
1715 Tiffany Drive East West Palm Beach,Florida 33407,
10540 Childers St  Bonita Springs,Florida 34135,
PO Box 9194 Naples,Florida 34101,
3180 Estey Ave Naples,Florida 34101,
2001 Airport Rd. S. Naples,Florida 34112,
3174 Tamiami Trail E Naples,Florida 34112,
3805 The Lord's Way Naples,Florida 34114,
2400 Edison Ave Fort Myers,Florida 33901,
6900 Mission Lane Ft Myers,Florida 33916,
4231 Desoto Ave. Fort Myers,Florida 33905,
599 Carolina Ave Fort Myers,Florida 33905,
602 W Main St Immokalee,Florida 34142,
1901 Broadway Riviera Beach,Florida 33404,
200 W 20th St Riviera Beach,Florida 34667,
1400 10th Street Sarasota,Florida 34236,
507 Kumquat Court Sarasota,Florida 34237,
3650 17th Street Sarasota,Florida 6123,
P.O. Box 2240 Venice,Florida 34284,
4158 Lado Dr Wesley Chapel,Florida 33543,
117 E. Magnolia St Lakeland,Florida 33802,
814 N Kentucky Ave Lakeland,Florida 33801,
801 E Memorial Blvd Lakeland,Florida 33801,
14121 Water Tower Drive Hudson,Florida 34667,
205 N. Pine Street Bunnell,Florida 32110,
810 Ridgewood Ave. Holly Hill,Florida 32117,
501 Ridgewood Ave Holly Hill,Florida 32117,
316 North St Daytona Beach,Florida 32114,
215 Bay Street Daytona Beach,Florida 32122,
336 S Palmetto Ave Daytona Beach,Florida 32114,
105 South St.  Daytona Beach,Florida 32114,
2600 Peters ST Palatka,Florida 32177,
4087 S US 1 Suite 3 Rockledge,Florida 32955,
113 Aurora Street Cocoa,Florida 32922,
801 East Town Avenue Geneva,Alabama 36340,
120 Duggan Avenue Crestview,Florida 32536,
305 Lovejoy Road Fort Walton Beach,Florida 32548,
8 Bobolink St NE Fort Walton Beach,Florida 32548,
16 Ferry Road SE Fort Walton Beach,Florida 32548,
PO Box 5094 Destin,Florida  3254,
1797 Old Moultrie Road Suite 107 Saint Augustine,Florida 32084,
1375 Arapaho Avenue Saint Augustine,Florida 32084,
62 Chapin St St. Augustine, 32084,
70 Washington St Saint Augustine,Florida 32084,
1203 Orange Avenue Fort Pierce,Florida 34950,
720 4th Street Vero Beach,Florida ,
1015 Commerce Avenue Vero Beach,Florida 32960,
3650 41st St Vero Beach,Florida 32967,
821 SE Martin Luther King Jr. Blvd Stuart,Florida 34994,
2484 SE Bonita Street Stuart,Florida 34997,
12001 SE Federal Hwy Hobe Sound,Florida 33455,
257 East Lane St Pensacola,Florida 32501,
Private location Pensacola ,Florida 32503,
1310 North S St Pensacola,Florida 32505,
1614 North T Street Pensacola,Florida 32505,
380 W. Herman Street Pensacola,Florida 32505,
31 Murphy Lane Pensacola,Florida 32505,
50 W Johnson Ave Pensacola,Florida 32534,
14001 Boros Rd Elberta,Alabama 36530,
1824 W. 15th St. Panama City,Florida 32401,
609 Allen Ave Panama City,Florida 32401,
3128 East 11th St Panama City,Florida 32401,
127 NW Escambia St Lake City,Florida 32055,
PO Box 1028 Lake City,Florida 32056,
714 Charlton St. Valdosta,Georgia 31601,
1614 Truesdell Court Key West,Florida 33040,
2409 N. Roosevelt Blvd Key West,Florida 33040,
5537 College Road Key West,Florida 33040,
P.O. Box 522696 Marathon Shores,Florida 33052,
620 N. McKenzie Foley,Alabama 36535,
15765 Hwy 59 North C Foley,Alabama 36535,
1380 Blountstown Highway Tallahassee,Florida 32310,
2650 Municipal Way Tallahassee,Florida 32304,
2810 Sharer Rd Suite 30 Tallahassee,Florida 32312,
325 John Knox Road Bldg A Tallahassee,Florida 32304,
606 West 4th Avenue Suite 11 Tallahassee, 32303,
1224 Eppes Dr Tallahassee,Florida 32304,
1105 North Monroe Street Tallahassee,Florida 32303,
P.O. Box 12953 Tallahassee,Florida 32312,
P.O. Box 10547 Tallahassee,Florida 32302,
3004 B Mahan Drive Tallahassee,Florida 32333,
521 Madison St. Thomasville,Georgia 31792,
