,0
1953,"208 Kraft St Clarksville, Tennessee 37040"
1954,"108 Kraft St.  Clarksville, Tennessee 37040"
1955,"1273 Dayton Mountain Hwy Dayton, Tennessee 37321"
1956,"1331 S. Jefferson Ave. Cookeville, Tennessee 38506"
1957,"P.O. Box 1180 Cookeville, Tennessee 38501"
1958,"116 Hickory Dr Shelbyville, Tennessee 37162"
1959,"281 SW 4th St Crossville, Tennessee 38555"
1960,"P.O Box 2611 Tullahoma, Tennessee 37388"
1961,"222B East Court Street Dyersburg, Tennessee 38024"
1962,"P.O. Box 1941 Bowling Green, Kentucky 42102"
1963,"49 Old Hickory Rd Jackson, Tennessee  38301"
1964,"180 Harvest Home Drive Duffield, Virginia 24244"
1965,"P.O. Box 5375 Mayfield, Kentucky 42066"
1966,"147 Shaker Hill Rd Alfred, Maine 04002"
1967,"368 Washington Street Dover, New Hampshire "
1968,"155 Hospital Street Augusta, Maine 04330"
1969,"19 Colby St Waterville, Maine 04901"
1970,"81 Church Hill Rd Leeds, Maine 04263"
1971,"547 Wilton Road Farmington, Maine 04938"
1972,"PO Box 616 Bangor,  04402"
1973,"PO Box 616 Bangor, Maine 04402"
1974,"181 State Street Bangor, Maine 04401"
1975,"263 Main Street Bangor, Maine 04401"
1976,"179 Corporate Dr Bangor, Maine 04401"
1977,"51 Main St Ellsworth, Maine 04605"
1978,"14 Middle St Brunswick, Maine 04011"
1979,"100 Pine St Lewiston, Maine 04240"
1980,"209 Lincoln Street Lewiston, Maine 04240"
1981,"491 Main St. Lewiston, Maine 04240"
1982,"PO Box 7227 Lewiston, Maine 04243"
1983,"169 Old County Rd Rockport, Maine 04856"
1984,"32 Erchles Street Rumford, Maine 04276"
1985,"5 Portland Street Portland, Maine 04104"
1986,"65 Elm Street Portland, Maine 04101"
1987,"203 Oxford Street Portland, Maine 04101"
1988,"65 India st Portland, Maine 04101"
1989,"59 Free Street Dexter, Maine 04930"
1990,"111 South Main Street Solon, Maine 04979"
1991,"600 Lafayette Road Portsmouth, New Hampshire "
1992,"568 Portsmouth Ave. Greenland, New Hampshire 03840"
1993,"6 Emery lane, P O Box 233 Stratham, New Hampshire 03885"
1994,"P.O. Box 233 Stratham, New Hampshire 03885"
1995,"127 How Street Haverhill, Massachusetts 01831"
1996,"745 Central Drive Presque Isle, Maine 04769"
1997,"12 McClellan St,  Suite 2 Skowhegan, Maine 04976"
1998,"138 Central Avenue Albany, New York 12206"
1999,"138 Central Avenue Albany, New York 12206"
2000,"176 Sheridan Avenue Albany, New York 12210"
2001,"26 South Swan Street Albany, New York 12210"
2002,"12 St. Joseph's Terrace Albany, New York 12210"
2003,"115 Grand Street Albany, New York 12202"
2004,"259 South Pearl St Albany, New York 12202"
2005,"20 S Ferry St Albany, New York 12202"
2006,"74 Ferry Street Troy, New York 12180"
2007,"2431 Sixth Avenue Troy, New York 12180"
2008,"834 State St Schenectady, New York 12307"
2009,"427 Hamilton Street Schenectady, New York 12305"
2010,"311 Clinton Street Schenectady, New York 12305"
2011,"5 Municipal Plaza, Suite 3 Clifton Park, New York 12065"
2012,"1179 Kenmore Avenue Buffalo, New York 14217"
2013,"325 Walden Avenue Buffalo, New York 14211"
2014,"1305 Main St Buffalo, New York 14209"
2015,"960 Main Street Buffalo, New York 14202"
2016,"100 East Tupper  Buffalo, New York 14203"
2017,"75 Hickory Street Buffalo, New York 14204"
2018,"1570 Buffalo Ave. Niagara Falls, New York 14303"
2019,"317 Portage Rd Niagara Falls, New York 14301"
2020,"218 East Main Street Amsterdam, New York 12010"
2021,"14 Walworth Street Saratoga Springs, New York 12866"
2022,"25 Operations Dr Valhalla, New York 10595"
2023,"35 Orchard Street White Plains, New York 10601"
2024,"33 Church St. White Plains, New York 10601"
2025,"86 E. Post Rd. White Plains, New York 10601"
2026,"112 East Post Road White Plains, New York 10601"
2027,"90 Fairfield Avenue Stamford, Connecticut 6904"
2028,"141 Franklin St Stamford, Connecticut 06901"
2029,"597 Pacific St.  Stamford, Connecticut 06902"
2030,"19 Washington Avenue New Rochelle, New York 10801"
2031,"4 Merritt St.  Norwalk, Connecticut 06854"
2032,"98 South Main Street South Norwalk, Connecticut 06854"
2033,"200 N. Water Street Peekskill, New York 10566"
2034,"5 Prowitt Street Norwalk, Connecticut 06855"
2035,"68 Palisade Ave Yonkers, New York 10701"
2036,"50 Sanatorium Rd Pomona, New York 10970"
2037,"45 Jesup Road Westport, Connecticut 06880"
2038,"3600 Jerome Avenue Bronix, New York 10467"
2039,"1911 Jerome Ave Bronx, New York 10453"
2040,"1774 Popham AVenue Bronx, New York 10453"
2041,"40 West 170th Street Bronx, New York 10452"
2042,"5 Harmony St Danbury, Connecticut 06810"
2043,"11 Spring St.  Danbury, Connecticut 06810"
2044,"41 New St.  Danbury, Connecticut 06810"
2045,"41 New Street Danbury, Connecticut 06810"
2046,1122 Franklin Avenue 
2047,"13 Maple Avenue Danbury, Connecticut 06810"
2048,"800 Barretto St. Bronx, New York 10474"
2049,"392 Main Street Hackensack, New Jersey 07601"
2050,"151 East 151st Street Bronx, New York 10451"
2051,"120 South River Street Hackensack, New Jersey 07601"
2052,"604 Broad Ave Ridgefield, New Jersey 07657"
2053,"94-00 Dimars Blvd Queens, New York 11369"
2054,"P.O. Box 131, Planetarium Station New York, New York 10024"
2055,"PO Box 131, Planetarium Station New York, New York 10024"
2056,"PO Box 131 New York, New York 10024"
2057,"106 W 83rd St New York, New York 10024"
2058,"237 E 77th St New York, New York 10075"
2059,"40-03 29th St Long Island City, New York 11101"
2060,"225 E 53rd St New York, New York 10022"
2061,"427 W. 52nd St. New  York,  10019"
2062,"515 43rd St Union City, New Jersey 07087"
2063,"120 East 32nd Street New York City, New York 10016"
2064,"108 36th St Union City, New Jersey 07087"
2065,"446 W 36th St New York, New York 10018"
2066,"505 Eighth Avenue, 5th Floor New York, New York 10018"
2067,"461 Eigth Avenue  New York, New York 10036"
2068,"120 E 32nd St New York, New York 10016"
2069,"257 West 30th Street New York, New York 10001"
2070,"257 West 30th Street New York, New York  1000"
2071,"400-430 East 30th Street New York, New York 10016"
2072,"400 E 30th St Manhattan, New York 10016"
2073,"400 East 30th Street New York, New York  1001"
2074,"296 9th Avenue New York City, New York 10001"
2075,"280 Broadway Newburgh, New York 12550"
2076,"519 East 11th Street New Yok, New York 10009"
2077,"36 Cooper Square 6th Floor New York City, New York 10003"
2078,"300 Bloomfield Street Hoboken, New Jersey 07030"
2079,"615 Grove Street Jersey City, New Jersey 07310"
2080,"36 Franklin St. Auburn, New York 13021"
2081,"51 Merriman Street Extension Auburn, New York 13021"
2082,"155 Gifford Street Syracuse, New York 13202"
2083,"677 South Salina Street Syracuse, New York 13202"
2084,"1074 South Clinton Street Syracuse, New York 13204"
2085,"2 South 2nd Street Deer Park, New York 11729"
2086,"840 Suffolk Ave Brentwood,  11717"
2087,"496 sunrise highway West Babylon, New York 10704"
2088,"200 Wireless Boulevard Hauppauge, New York 11788"
2089,"80 Middle Country Road Coram, New York 11727"
2090,"32 Mill Rd. Yaphank, New York 11980"
2091,"60 Charles Lindbergh Blvd Uniondale,  11553"
2092,"100 Madison Ave. Hempstead, New York 11550"
2093,"106-38 150th st Jamaica, New York 11435"
2094,"9305 168th Street Jamaica, New York 11434"
2095,"246 Jamaica Avenue Brooklyn , New York 11207"
2096,"116 Williams Avenue between Liberty Ave and Glenmore Ave Brooklyn, New York "
2097,"300 Skillman Ave Brooklyn, New York 11211"
2098,"1424 Herkimer St Brooklyn, New York 11233"
2099,"2402 Atlantic Avenue Brooklyn, New York 11233"
2100,"2402 Atlantic Ave Brooklyn, New York 11233"
2101,"???1245 Broadway Avenue Brooklyn, New York 11221"
2102,"703 Lexington Avenue Brooklyn, New York 11221"
2103,"703 Lexington Avenue Brooklyn, New York 11221"
2104,"520 Gates Avenue Brooklyn, New York 11216"
2105,"8 East 3rd Street New York, New York 10003"
2106,"39 Auburn Place Brooklyn, New York 11205"
2107,"227 Bowery New York City, New York 10002"
2108,"59-65 Prince Street Brooklyn, New York 11201"
2109,"200 Tillary Street Brooklyn, New York 11201"
2110,"90 Lafayette Street New York City, New York 10013"
2111,"123 Ave Of the Americans  New York , New York 10013"
2112,"1402 8th Ave Brooklyn, New York 11215"
2113,"75 Broad Street, Suite 505 New York, New York 10004"
2114,"89 York Street Jersey City, New Jersey 07302"
2115,"246 2nd St Jersey City, New Jersey 07302"
2116,"555 Kennedy Blvd Bayonne, New Jersey 07002"
2117,"41 Myrtle Ave Passaic, New Jersey 07055"
2118,"89 First Street Clifton, New Jersey 07011"
2119,"31 Fulton St Newark, New Jersey 07102"
2120,"24 Grant St. Newark, New Jersey 07104"
2121,"100 Park Avenue Staten Island, New York 10302"
2122,"269 Mount Prospect Ave Newark, New Jersey 07104"
2123,"79 University Avenue Newark, New Jersey 07107"
2124,"257 Mt. Prospect Avenue Newark, New Jersey 07104"
2125,"982 Broad Street Newark, New Jersey 07102"
2126,"330 Washington St. NEWARK, New Jersey 07102"
2127,"451 Van Houten Street Paterson, New Jersey 07501"
2128,"435 Main Avenue Paterson, New Jersey 07501"
2129,"393 Main Street Paterson, New Jersey 07501"
2130,"100 Dayton Street Ridgewood, New Jersey 07450"
2131,"262 Main St Paterson, New Jersey 07505"
2132,"36 38 Circle Ave Paterson, New Jersey 07522"
2133,"PO Box 70 Middletown, New Jersey 07734"
2134,"320 Chenango St. Binghamton, New York 13901"
2135,"56-58 Whitney Avenue Binghamton, New York 13901"
2136,"50 Nichols Street Fairfield, Connecticut 06824"
2137,"392 Prospect St. Bridgeport, Connecticut 06604"
2138,"1088 Fairfield Avenue Bridgeport, Connecticut 06605"
2139,"68 N Fullerton Ave Montclair, New Jersey 07042"
2140,"PO Box 1887 Bloomfield, New Jersey 07003"
2141,"95 Grove Street Montclair, New Jersey 07042"
2142,"95 Grove Street Montclair, New Jersey 07042"
2143,"12 Myrtle Avenue Newark, New Jersey 07103"
2144,"50 S Clinton Ave, Suite 5400 East Orange, New Jersey 07018"
2145,"300 Central Ave East Orange, New Jersey 07018"
2146,"210 West Main Street Rochester, New York 14614"
2147,"547 Joseph Ave Rochester, New York 14605"
2148," 70 Liberty Pole Way Rochester, New York 14604"
2149,"521 Washington Street Newark, New Jersey 07103"
2150,"278 South Orange Avenue Newark, New Jersey 07103"
2151,"689 South 16th Street Newark,  07103"
2152,"712 Springfield Ave newark, New Jersey 07103"
2153,"70 Ellis ave irvington, New Jersey 07111"
2154,175 
2155,"118 Division St Elizabeth, New Jersey 07201"
2156,"1018 E Grand St Elizabeth, New Jersey 07201"
2157,"144 Madison Ave Elizabeth, New Jersey 07201"
2158,"4 Gary Rd Union, New Jersey 07083"
2159,"933 State St Perth Amboy, New Jersey 08861"
2160,"433 State Street Perth Amboy, New Jersey 08861"
2161,"433 State St Perth Amboy, New Jersey 08861"
2162,"PO Box 510 Maplewood, New Jersey 07040"
2163,"650 Rahway Avenue Woodbridge, New Jersey 07095"
2164,"1 Bethany Road Building 3 Hazlet, New Jersey 07730"
2165,"Grace Episcopal Church, 827 Church Street Honesdale, Pennsylvania 18431"
2166,"31 w Main Street  Port Jervis, New York 12771"
2167,"413 East Dominick St Rome, New York 13440"
2168,"40 Thomas Street Kingston, New York 12401"
2169,"38 Thomas Street Kingston, New York 12401"
2170,"Confidential Location Rosendale, New York 12472"
2171,"389 Jackson Avenue, Unit I Stratford, Connecticut 06615"
2172,"1826 Seaview Avenue Bridgeport, Connecticut 06610"
2173,"309 Brooks Street Bridgeport, Connecticut 06608"
2174,"90 New Haven Ave Milford, Connecticut 06460"
2175,"1037 Sylvan Avenue Bridgeport, Connecticut 06606"
2176,"1037 Sylvan Avenue Bridgeport, Connecticut 06606"
2177,"480 Broadway, Lower Level 20 Saratoga Springs, New York 12866"
2178,"60 Caroline Street Saratoga Springs, New York 12866"
2179,"3 W Broadway Oneonta, New York 13820"
2180,"212 Rutger Street Utica, New York 13501"
2181,"893 E. Main Street Riverhead, New York 11901"
2182,"380 S. Main St. Elmira, New York 14901"
2183,"P.O. Box 766 Wellsboro, Pennsylvania 16901"
2184,"717 Court Street Ithaca, New York 14850"
2185,"16 w 6th street  Jamestown , New York 14701"
2186,"P.O. Box 547 Warren, Pennsylvania 16365"
2187,"PO Box 1016 New Milford, Connecticut 06776"
2188,"391 Manchester Road Poughkeepsie, New York 12603"
2189,"99 Thompson St Poughkeepsie, New York 12601"
2190,"29 North Hamilton Street Poughkeepsie, New York 12601"
2191,"60 Market Street Poughkeepsie, New York 12601"
2192,"38 Seward Ave Middletown, New York 10940"
2193,"220 Main Street, Unit One  Towanda, Pennyslvania "
2194,"1110 Grand Ave Asbury Park, New Jersey 07712"
2195,"1033 E. 26th St Erie, Pennsylvania 16504"
2196,"1027 E. 26th St. Erie, Pennsylvania 16502"
2197," Erie, Pennsylvania 16504"
2198,"147 E. 12th St. Erie, Pennsylvania 16503"
2199,"245 E. 8th St. Erie, Pennsylvania 16503"
2200,"1017 French St Erie, Pennsylvania 16512"
2201,"Office of Mental Health & Mental Retardation, 154 West Ninth Street Erie, Pennsylvania 16501"
2202,"652 W. 17th St. Erie, Pennsylvania 16502"
2203,"550 W. 7th St Erie, Pennsylvania 16502"
2204,"10-12 Wait St. Glens Falls, New York 12801"
2205,"10-12 wait street Glen Falls, New York 12801"
2206,"Open Door Mission Glens Falls, New York 12801"
2207,"200 Finney Blvd Malone , New York 12953"
2208,"PO Box U Hewitt, New Jersey 07421"
2209,"13 Woodland Road Sussex, New Jersey 07461"
2210,"506 Broad Street Milford, Pennsylvania 18337"
2211,"48 Wyker Rd Franklin, New Jersey 07416"
2212,"83 Spring St Newton, New Jersey 07860"
2213,"42 Jay St.  New London, Connecticut 06320"
2214,"76 Federal Street  New London, Connecticut 06320"
2215,"56 Spruce Street Westerly, Rhode Island 02891"
2216,"112 1/2 S 2nd St Olean, New York 14760"
2217,"24 West Corydon Street Bradford, Pennsylvania 16701"
2218,"P.O. Box 241 North Street Roulette, Pennsylvania 16746"
2219," 60 Institute Road Burlington, Vermont 05401"
2220,"89 North Street Burlington, Vermont 05401"
2221,"113 Elmwood Avenue Burlington, Vermont 05401"
2222,"278 Main Street Burlington, Vermont 05401"
2223,"24 Kingman Street St Albans, Vermont 05478"
2224,"586 Ella T. Grasso Boulevard New Haven, Connecticut 06519"
2225,"586 Ella Grasso Blvd New Haven, Connecticut 06519"
2226,"559 Howard Ave. New Haven, Connecticut 06519"
2227,"223 PortSea St. New Haven, Connecticut 06519"
2228,"232 Cedar St. New Haven, Connecticut 06511"
2229,"166-168 Davenport Ave New Haven, Connecticut 06519"
2230,"168 Davenport Avenue New Haven, Connecticut 06519"
2231,"645 Grand Avenue New Haven, Connecticut 06511"
2232,"447 Ferry Street New Haven, Connecticut 06513"
2233,"901 Swartswood Road Newton, New Jersey 07860"
2234,"89 Truman Drive Edison, New Jersey 08817"
2235,"22 Abeel Street New Brunswick, New Jersey 08901"
2236,"PO Box 312 New Brunswick, New Jersey 08901"
2237,"4 Roosevelt Ave New Brunswick, New Jersey 08901"
2238,"P.O. Box 1494 Morristown, New Jersey 07962"
2239,"9 Market Street Morristown, New Jersey 07960"
2240,"95 Spring St Morristown, New Jersey 07960"
2241,"51 Washington St Morristown, New Jersey 07960"
2242,"3 Wing Drive,  Suite 245 Cedar Knolls, New Jersey 07927"
2243,"69 Main street Vergennes, Vermont 05491"
2244,"205 E Highland St Albion, Indiana 46701"
2245,"500 W Business 30 Columbia City, Indiana 46725"
2246,"2018 N Clinton St Fort Wayne, Indiana 46805"
2247,"431 Fairmont Place Fort Wayne, Indiana 46808"
2248,"519 Tennessee Ave Fort Wayne, Indiana 46805"
2249,"301 West Superior Street Fort Wayne, Indiana 46855"
2250,"427 W. Washington Blvd. Fort Wayne, Indiana 46808"
2251,"2925 E. State Blvd Fort Wayne, Indiana 46805"
2252,"512E Jefferson Blvd.  Fort Wayne, Indiana 46802"
2253,"432 Madison St. Fort Wayne, Indiana 46802"
2254,"806 Walnut St. Fort Wayne, Indiana 46802"
2255,"P.O. Box 11242 Fort Wayne, Indiana 46856"
2256,"2208 Wayne Trace Fort Wayne, Indiana 46803"
2257,"2812 Gay St Fort Wayne, Indiana 46806"
2258,"2827 Holton Avenue Fort Wayne, Indiana 46806"
2259,"P.o. Box 285 Alexandria, Indiana 46001"
2260,"208 SOUTH ANDERSON STREET ELWOOD, Indiana 46036"
2261,"625 Main Street Anderson, Indiana 46016"
2262,"625 Main Street Anderson, Indiana 46015"
2263,"332 W. 11th Street Anderson, Indiana 46016"
2264,"P.O. Box 1302 Anderson, Indiana 46015"
2265,"1725 S Liberty St Muncie, Indiana 47302"
2266,"P.O. Box 734 Muncie, Indiana 47308"
2267,"401 E. Main Street Muncie, Indiana 47308"
2268,"310 E. Charles St. Muncie, Indiana 47305"
2269,"423 S. Gallatin Street Marion, Indiana 46952"
2270,"15755 Allisonville Road Noblesville, Indiana 46060"
2271,"418 South 18th Street New Castle, Indiana 47362"
2272,"35 E. Pierson Street Greenfield, Indiana 46140"
2273,"600  Williams Street Angola, Indiana 46703"
2274,"63 W. Washington St. Coldwater, Michigan 49036"
2275,"6815 US 50 Aurora, Indiana 47001"
2276,"1841 Fairmount Avenue Cincinnati, Ohio 45214"
2277,"1805 Dalton Avenue Cincinnati, Ohio 45214"
2278,"411 Gest Street Cincinnati, Ohio 45202"
2279,"4230 Hamilton Ave Cincinnati, Ohio 45223"
2280,"260 West Pike Street Covington, Kentucky 41012"
2281,"205 West Pike St. Covington, Kentucky 41011"
2282,"27 West 12th Street Cincinnati, Ohio 45210"
2283,"898 Walnut Street Cincinnati, Ohio 45202"
2284,"113 E 12th St Cincinnati, Ohio 45202"
2285,"634 Scott St. COVINGTON, Kentucky 41011"
2286,"13-15 East 20th St Covington, Kentucky 41014"
2287,"2499 Reading Road Cincinnati, Ohio 45202"
2288,"622 East Ave Hamilton, Ohio 45011"
2289,"P.O. Box 95 Hamilton, Ohio 45012"
2290,"550 High St Hamilton, Ohio 45011"
2291,"360 IN-267 Avon, Indiana 46123"
2292,"907 N. Holmes Avenue Indianapolis, Indiana 46222"
2293,"976 West 29th Street Indianapolis, Indiana 46208"
2294,"120 East Market Street Indianapolis, Indiana 46204"
2295,"205 East New York Street Indianapolis, Indiana 46204"
2296,"2011 N Meridian St Indianapolis, Indiana 46202"
2297,"540 Alabama St Indianapolis, Indiana 46204"
2298,"540 N. Alabama Street Indianapolis, Indiana 46204"
2299,"1537 N. Central Ave. Indianapolis, Indiana 46202"
2300,"1033 E. Washington St. Indianapolis,  46202"
2301,"2716 E. Washington Street Indianapolis, Indiana 46142"
2302,"301 West Harrison Street  Martinsville, Indiana 46151"
2303,"1108 5th Street Bedford,  47421"
2304,"620 S Walnut St Bloomington, Indiana 47401"
2305,"PO Box 95 Bloomington, Indiana 47402"
2306,"400 S. Opportunity Ln Bloomington, Indiana 47404"
2307,"215 N Rogers St Bloomington, Indiana 47403"
2308,"308 S Oak st Paoli, Indiana 47454"
2309,"N., 35 Public Square Salem, Indiana 47167"
2310,"201 S Van Buren St Monroe, Indiana 46733"
2311,"P. O. Box #253 Decatur, Indiana 46733"
2312,"1402 Locust St Terre Haute, Indiana 47808"
2313,"1450 Wabash Avenue Terre Haute, Indiana 47807"
2314,"4470 South Houseman Street Terre Haute, Indiana 47808"
2315,"16 South Jackson Street Greencastle, Indiana 46135"
2316,"309 East Franklin Street Greencastle, Indiana "
2317,"9 N 5th Street Vincennes, Indiana 47591"
2318,"792 McCool Rd.  Valparaiso, Indiana 46385"
2319,"792 McCool Rd Portage, Indiana 46368"
2320,"2102 Calumet Avenue Valparaiso, Indiana 46383"
2321,"2001 Calumet Avenue Valparaiso, Indiana 46383"
2322,"2001 Calumet Ave. Valparaiso, Indiana 46383"
2323,"1005 North Campbell Street Valparaiso, Indiana 46385"
2324,"Address Witheld Valparaiso, Indiana 46383"
2325,"1005 West 8th St Michigan City, Indiana 46360"
2326,"516 Decatur St Michigan City, Indiana 46360"
2327,"414 Kennedy Ct Michigan City, Indiana 46360"
2328,"839 Broadway, 3rd Floor Gary, Indiana 46402"
2329,"2120 Broadway Gary, Indiana 46407"
2330,"4919 Charlestown Rd New Albany, Indiana 47150"
2331,"1020 W Market St Louisville, Kentucky 40202"
2332,"432 E. Jefferson Street Louisville, Kentucky 40202"
2333,"733 E Jefferson St Louisville, Kentucky 40202"
2334,"710 S. 31st Street Louisville, Kentucky 40211"
2335,"927 S 2nd St Louisville, Kentucky 40203"
2336,"927 South 2nd Street Louisville, Kentucky 40201"
2337,"1436 South Shelby Street Louisville, Kentucky 40217"
2338,"1624 South Preston Street Louisville, Kentucky 40217"
2339,"8311 Preston HWY Louisville, Kentucky 40219"
2340,"P O Box 508 Mount Washington, Kentucky 40047"
2341,"649 W Moonglo Rd Scottsburg,  47170"
2342,"1520 E. Winona Ave. Warsaw, Indiana 46580"
2343,"603 Parker St Warsaw, Indiana 46581"
2344,"P.O. Box 103 Columbus, Indiana 47402"
2345,"505 Community Drive Seymour, Indiana 47274"
2346,"201 E 3rd St Seymoure, Indiana 47274"
2347,"250 S. Vine Street Seymour, Indiana 47274"
2348,"304 Hoosier Street  North Vernon, Indiana 47265"
2349,"275 Grove Rd Richmond, Indiana 47374"
2350,"15 S 11th St Richmond, Indiana 47374"
2351,"P.O. Box 254 Crawfordsville, Indiana 47933"
2352,"50 Lowell St Manchester, New Hampshire 03101"
2353,"605 N 6th St Lafayette, Indiana 47901"
2354,"525 N 4th Street Lafayette, Indiana 47901"
2355,"615 North 18th Street Lafayette, Indiana 47904"
2356,"not provided Sauk Village, Illinois 60411"
2357,"1439 Emerald Avenue Chicago Heights, Illinois 60412"
2358,"414 W. Lincoln Highway Chicago Heights, Illinois 60411"
2359,"33 E. 114th Street Chicago, Illinois 60628"
2360,"11321 South Wentworth Ave Chicago, Illinois 60628"
2361,"12610 S. Honore St.  #1 Calumet Park, Illinois 60827"
2362,"9519 South Commercial Ave Chicago, Illinois 60617"
2363,"10858 S. Michigan Ave Chicago, Illinois 60628"
2364,"7320 S. Yale Avenue Chicago, Illinois 60621"
2365,"6423 South Woodlawn Avenue Chicago, Illinois 60644"
2366,"5052 S. laflin Chicago, Illinois 60609"
2367,"618 S Main St Kokomo, Indiana 46901"
2368,"210 N Market St Kokomo, Indiana 46901"
2369,"321 W Mulberry St Kokomo, Indiana 46901"
2370,"132 State Street  Elkhart, Indiana 46515"
2371,"801 Benham Avenue Elkhart, Indiana 46516"
2372,"105 S Third Street Goshen, Indiana 46526"
2373,"813 S. Michigan Street South Bend, Indiana 46601"
2374,"500 East Walnut Street Evansville, Indiana 47713"
2375,"324 NW 6th Street Evansville, Indiana 47708"
2376,"not disclosed Evansville, Indiana 47708"
2377,"1100 Read St Evansville, Indiana 47710"
2378,"804 Clay Street Henderson, Kentucky 42420"
2379,"210 S Main St Bryan, Ohio 43506"
2380,"1500 S Meridian Rd Jasper, Indiana 47546"
2381,"1458 S Canal St Chicago, Illinois 60605"
2382,"332 S Michigan Ave, Suite 1032 Chicago, Illinois 60604"
2383,"2750 West Roosevelt Road Chicago, Illinois 60608"
2384,"2715 W Harrison Chicago, Illinois 60612"
2385,"2822 West Jackson Blvd. Chicago, Illinois 60612"
2386,"1110 N. Noble Street Chicago, Illinois 60622"
2387,"600 W Fullerton Pkwy Chicago, Illinois 60614"
2388,"3465 W. Franklin Boulevard Chicago, Illinois 60624"
2389,"825 N Christiana Ave Chicago, Illinois 60651"
2390,"4241 West Washington Boulevard Chicago, Illinois 60624"
2391,"924 N Christiana Ave Chicago, Illinois 60651"
2392,"3209 W. Evergreen Chicago, Illinois 60651"
2393,"3533 W. North Avenue Chicago, Illinois 60647"
2394,"4009 N Broadway Chicago,  60613"
2395,"4628 N Clifton Ave Chicago, Illinois 60640"
2396,"4838 N Sheridan Rd Chicago, Illinois 60640"
2397,"4410 N. Ravenswood,  suite 101 Chicago, Illinois 60640"
2398,"645 Pipestone Street Benton Harbor, Michigan 49022"
2399,"233 Michigan Street Benton Harbor, Michigan 49022"
2400,"185 E Main Street Benton Harbor, Michigan 49022"
2401,"6602 W 111th St Worth, Illinois 60477"
2402,"11005 S 76th Ave Worth, Illinois 60482"
2403,"9601 E Ogden Ave La Grange, Illinois 60558"
2404,"915 N. Menard Ave Chicago, Illinois 60651"
2405,"1851 S 9th St Maywood, Illinois 60513"
2406,"6450 N Califormia Avenue Chicago, Illinois 60645"
2407,"217 W. 3rd Street Mount Carmel, Illinois 62863"
2408,"P.O. Box 212 Rensselaer, Indiana 47978"
2409,"805 Spencer Street Logansport, Indiana 46947"
2410,"336 West  Newport, Kentucky 41071"
2411,"2314 Iowa Ave Cincinnati, Ohio 45206"
2412,"1836 Brewster Avenue Cincinnati, Ohio 45207"
2413,"2024 Mills Ave Cincinnati, Ohio 45212"
2414,"433 E Water St Greenville,  45331"
2415,"308 Eaton-Lewisburg Rd Eaton, Ohio 45320"
2416,"8111 US. 127 N. Camden, Ohio 45311"
2417,"609 Wing Avenue Owensboro, Kentucky 42303"
2418,"501 Walnut Street Owensboro, Kentucky 42301"
2419,"1001 W. 7th Street Owensboro, Kentucky 42301"
2420,"4301 Veach Rd Owensboro, Kentucky 42303"
2421,"207 E. Market St. Door #3 Akron, Ohio 44308"
2422,"111 East Voris Street Akron, Ohio 44301"
2423,"175 East Market STreet Akron, Ohio 44309"
2424,"24 North Prospect Street Akron, Ohio 44304"
2425,"190 South Maple Street Akron, Ohio 44302"
2426,"230 W. Market Street Akron, Ohio 44303"
2427,"15 Broad Street Akron, Ohio 44305"
2428,"122 21st Nw Barberton, Ohio 44203"
2429,"1211 Anita Dr Kent, Ohio 44240"
2430,"10000 Brecksville Rd Brecksville,  44141"
2431,"715 Second St NE Canton, Ohio 44702"
2432,"2710 Walton Avenue Cleveland, Ohio 44113"
2433,"18120 Puritas Ave Cleveland, Ohio 44135"
2434,"3020 W 104th Cleveland, Ohio 44111"
2435,"527 North Meridian Road Youngstown, Ohio 44509"
2436,"2671 Youngstown Warren Rd Warren, Ohio 44484"
2437,"1087 W 2nd St Xenia, Ohio 45385"
2438,"125 S Detroit Ave Xenia, Ohio 45385"
2439,"100 Huffman Avenue, Ste. 305 Dayton, Ohio 45403"
2440,"605 S Patterson Blvd Dayton, Ohio 45402"
2441,"1133 Edwin C. Moses Blvd. Suite 308 Dayton, Ohio 45417"
2442,"141 E 3rd St Dayton, Ohio 45402"
2443,"390 W Main St Wilmington, Ohio 45177"
2444,"36 Gallup Street Wilmington, Ohio 45177"
2445,"322 Charles St Middletown, Ohio 45042"
2446,"34 South Main Street Middletown, Ohio 45044"
2447,"120 S broad st  Middletown , Ohio 45044"
2448,"300 Miami street Urbana, Ohio 43078"
2449,"317 West 15th Street Lorain, Ohio 44052"
2450,"1536 E 30th St Lorain, Ohio 44055"
2451,"203 West 8th Street Elyria, Ohio 44052"
2452,"440 W Lorain St Oberlin, Ohio 44074"
2453,"3468 E 142nd St. Cleveland, Ohio 44120"
2454,"249 W Main St Norwalk, Ohio 44857"
2455,"124 W. Third St. Mansfield, Ohio 44902"
2456,"4125 Station Ave. Ashtabula, Ohio 44004"
2457,"12480 Ravenwood Dr Chardon, Ohio 44024"
2458,"91 Central Ave Athens, Ohio 45701"
2459,"841 Old Mcarthur Rd Logan, Ohio 43138"
2460,"22001 Fairmount Blvd. Shaker Heights, Ohio 44118"
2461,"12832 Euclid Avenue East Cleveland, Ohio 44112"
2462,"17917 Euclid Avenue Cleveland, Ohio 44112"
2463,"5310 Carnegie Avenue Cleveland, Ohio 44103"
2464,"Confidential Address  Cleveland, Ohio 44115"
2465,"2592 W 14th St.  Cleveland, Ohio 44120"
2466,"1710 Prospect Avenue Cleveland, Ohio 44115"
