,0
1866,Salvation Army of Greater Birmingham Emergency Housing Birmingham Alabama
1867,Priority Veteran Birmingham Birmingham Alabama
1868,Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority Birmingham Alabama
1869,Community Kitchens of Birmingham Birmingham 
1870,YWCA Interfaith Hospitality House for Families Birmingham Alabama
1871,The Lovelady Center Birmingham Alabama
1872,Clay Veterans Center Center Point Alabama
1873,Dent Transitional Program Cottondale Alabama
1874,Tuscaloosa VA Medical Center Homeless Services Tuscaloosa Alabama
1875,Salvation Army Tuscaloosa Tuscaloosa Alabama
1876,Community Soup Bowl Tuscaloosa Alabama
1877,Jesus Way Homeless Shelter Tuscaloosa Alabama
1878,Women In Crisis Homeless Shelter Inc. Eight Mile Alabama
1879,Christian Mission Bargain Center Shelter and Services Elba Elba Alabama
1880,Ground Zero Rescue Mission Enterprise Alabama
1881,New Life Recovery Ministry Enterprise Alabama
1882,Christian Mission Bargain Center Shelter and Services Troy Troy Alabama
1883,Salvation Army Jasper AL Jasper Alabama
1884,Salvation Army Florence Florence Alabama
1885,Crossroads Community Outreach Florence Alabama
1886,Sunrise Center Sheffield Alabama
1887,Hope Rebirth Homeless Shelter Summerville Georgia
1888,Life Resource Services of Jackson County Scottsboro Alabama
1889,Ground Zero Rescue Mission Phil Campbell Phil Campbell Alabama
1890,Community Share Ministries - Men's Shelter Cedartown Georgia
1891,Baptist Tabernacle Food Closet Lagrange Georgia
1892,Valley Rescue Mission Columbus Georgia
1893,Open Door Community House Columbus Georgia
1894,Salvation Army Shelter Columbus GA Columbus Georgia
1895,House of Restoration Phenix City Alabama
1896,Trunks of Love Lighthouse Ministries Phenix City Alabama
1897,House of Mercy Columbus Georgia
1898,Vision of Grace Transition Home Montgomery Alabama
1899,Vision of Grace Transition Home Montgomery Alabama
1900,Mary Ellen's Hearth AT Nellie Burge Community Center Montgomery 
1901,Salvation Army Montgomery Montgomery Alabama
1902,Family Promise of Montgomery Services Montgomery Alabama
1903,Renascence In Prisoner Re-entry Montgomery Alabama
1904,Faith Crusade Montgomery Rescue Mission Montgomery Alabama
1905,Genesis House - Aid To Inmate Mothers Montgomery Alabama
1906,Friendship Mission For Men Montgomery Alabama
1907,Return To Reality - Recovery House For Women Montgomery Alabama
1908,House of Love and Mercy Tallassee Alabama
1909,Valley Interfaith Promise Columbus Georgia
1910,Samaritan Place Knoxville Tennessee
1911,Steps House Knoxville Tennessee
1912,The Next Door Knoxville Knoxville Tennessee
1913,CAC Knoxville Homeward Bound Knoxville Tennessee
1914,Salvation Army Knoxville TN - The Thompson Center of Hope Knoxville Tennessee
1915,Knox Area Rescue Ministries - KARM Knoxville Tennessee
1916,Positively Living Knoxville Knoxville Tennessee
1917,Crooked Tree Campground Decatur Tennessee
1918,Bradley County - Cleveland Emergency Shelter Cleveland Tennessee
1919,YWCA of Nashville and Middle Tennessee Nashville Tennessee
1920,Safe Haven Family Shelters Nashville Tennessee
1921,Room at the Inn Nashville Nashville Tennessee
1922,Nashville Rescue Mission Nashville Tennessee
1923,The Next Door Nashville Nashville Tennessee
1924,Oasis Center - Youth Shelter Nashville Tennessee
1925,Restoration Pointe's Foundry Temporary Shelter Nashville Tennessee
1926,Community Care Fellowship Day Shelter Nashville Tennessee
1927,Salvation Army Nashville - Transitional Housing Nashville Tennessee
1928,Rutherford County Shelter - Salvation Army Murfreesboro Tennessee
1929,Journey Home Day Shelter Murfreesboro Tennessee
1930,Place of Hope Columbia Tennessee
1931,"Haven of Rest Rescue Mission, Serving the Mountain Empire Bristol Tennessee"
1932,Haven of Mercy Johnson City Tennessee
1933,Hope Haven Ministries  Inc. Kingsport Tennessee
1934,"Salvation Army Kingsport, TN Kingsport Tennessee"
1935,Family Promise of Greater Kingsport Kingsport Tennessee
1936,Ministerial Association Temporary Shelter (M.A.T.S.) Morristown Tennessee
1937,"CEASE, Inc - Domestic Violence Shelter Morristown Tennessee"
1938,Hospitality House of Boone Boone North Carolina
1939,Scott County Women's Shelter Oneida Tennessee
1940,Dry Bones Emergency Shelter - Winter Shelter Harriman Tennessee
1941,Redeemed Outreach Center Harriman Tennessee
1942,Chattanooga Room In The Inn Chattanooga Tennessee
1943,Chattanooga Rescue Mission Chattanooga Tennessee
1944,Family Promise of Greater Chattanooga Chattanooga Tennessee
1945,Union Gospel Mission Chattanooga Tennessee
1946,Dalton Whitfield CDC Dalton Georgia
1947,City of Refuge Transitional Housing Dalton Georgia
1948,Providence Ministries Dalton Georgia
1949,Williamsburg Emergency Christian Ministries Shelter Williamsburg Kentucky
1950,Safe Haven Shelter - Battered Women and Children's Center Pineville Kentucky
1951,"KCEOC, Community Action Partnership Shelter Gray Kentucky"
1952,The Everlasting Arm Homeless Shelter Corbin Kentucky
1953,The Salvation Army Emergency Shelter Clarksville Tennessee
1954,Safe Harbor of Clarksville Clarksville Tennessee
1955,We Care Community Services - Transitional Housing Dayton Tennessee
1956,Cookeville Rescue Mission Cookeville Tennessee
1957,Genesis House Cookeville Tennessee
1958,C.R.O.S.S. Shelter Project - Homeless Shelter Shelbyville Tennessee
1959,Bread of Life Rescue Mission Crossville Tennessee
1960,Citizens for Homeless Relief - Shepherds House Tullahoma Tennessee
1961,Dyer County Day Shelter Dyersburg Tennessee
1962,"Barren River Area Safe Spa ce (BRASS), Inc. Bowling Green Kentucky"
1963,Dream Center of Jackson Shelter Jackson Tennessee
1964,Harvest Child Care Ministris Duffield Virginia
1965,The Lighthouse - A Healing Place Mayfield Kentucky
1966,York County Shelter Programs Alfred Maine
1967,My Friend's Place Dover New Hampshire
1968,Bread Life Ministries Shelter Augusta Maine
1969,Mid-Maine Homeless Shelter Waterville Maine
1970,Rural Community Action Ministry Leeds Maine
1971,Western Maine Homeless Outreach Farmington Maine
1972,Shepherd's Godparent Home - Maternity Shelter Bangor 
1973,Barbara's Dwelling Place Bangor Maine
1974,My Choice Bangor Maine
1975,The Bangor Area Homeless Shelter Bangor Maine
1976,Hope House Health and Living Center Bangor Maine
1977,Emmaus Homeless Shelter Ellsworth Maine
1978,Tedford Housing Brunswick Maine
1979,Sheltered by Jesus L/A Lewiston Maine
1980,Hope Haven Gospel Mission Lewiston Maine
1981,New Beginnings Lewiston Maine
1982,St. Martin De Porres Residence Inc. Lewiston Maine
1983,Mid Coast Hospitality House Rockport Maine
1984,Community Concepts - Strathglass Family Shelter Rumford Maine
1985,Preble Street Resource Center Portland Maine
1986,Salvation Army Lighthouse Shelter Portland Maine
1987,"City of Portland, Oxford Street Shelter for Men Portland Maine"
1988,Milestone Foundation Emergency Shelter Portland Maine
1989,Penquis Journey House Dexter Maine
1990,New Hope Women's Shelter Solon Maine
1991,Crossroads House Portsmouth New Hampshire
1992,"New Generation, Inc. Greenland New Hampshire"
1993,Seacoast Interfaith Hospitality Network Stratham New Hampshire
1994,Seacoast Interfaith Hospitality Network - Overnight Shelter Stratham New Hampshire
1995,Emmaus House Haverhill Massachusetts
1996,Sister Mary O'Donnell Homeless Shelter Presque Isle Maine
1997,Trinity Men's Shelter Skowhegan Maine
1998,Homeless and Travelers Aid Society Albany New York
1999,HATAS - Homeless and Travelers Aid Society Albany New York
2000,Albany Emergency Shelter Albany New York
2001,Sheridan Hollow Drop In Center Albany New York
2002,Mercy House (Women and Children) Albany New York
2003,St. Charles Lwanga Center - Shelter For Men Albany New York
2004,Capital City Rescue Mission Albany New York
2005,Salvation Army Albany Corps Shelter Albany New York
2006,Joseph's House and Shelter Troy New York
2007,Unity House of Troy Troy New York
2008,Bethesda House of Schenectady Inc. Schenectady New York
2009,City Mission Men's Center Schenectady New York
2010,City Mission of Schenectady Family Life Center Schenectady New York
2011,CAPTAIN CHS Runaway and Homeless Emergency Youth Shelter Clifton Park New York
2012,Emergency Shelter - Community Services for Every1 Buffalo New York
2013,St. Luke's Mission of Mercy Buffalo New York
2014,The Little Portion Friary Buffalo New York
2015,The Salvation Army Family Shelter Buffalo New York
2016,Buffalo City Mission  Buffalo New York
2017,Family Promise of WNY - Family Shelter Buffalo New York
2018,Community Missions Niagara Falls New York
2019,Niagara Gospel Rescue Mission Niagara Falls New York
2020,Danielleâ€™s House Amsterdam New York
2021,Shelters of Saratoga Saratoga Springs New York
2022,The Grasslands Homeless Shelter Valhalla New York
2023,Lifting Up Westchester White Plains New York
2024,Samaritan House Shelter White Plains White Plains New York
2025,Open Arms Men's Shelter White Plains New York
2026,Westchester County Department of Social Services White Plains New York
2027,Shelter for the Homeless New Covenant House of Hospitality (soup kitchen) Stamford Connecticut
2028,Inspirica Stamford Connecticut
2029,Pacific House Shelter Stamford Connecticut
2030,The Oasis Shelter  New Rochelle New Rochelle New York
2031,Open Door Shelter Norwalk Connecticut
2032,Norwalk Economic Opportunity Now Inc. (NEON) South Norwalk Connecticut
2033,CHHOP Peekskill - Caring for the Hungry and Homeless of Peekskill Peekskill New York
2034,"Malta House,Inc Norwalk Connecticut"
2035,YMCA Temporary Shelter For Men Kingdom Christian Cultural Center Yonkers New York
2036,Rockland County Department of Social Services Pomona New York
2037,Homes with Hope Westport Connecticut
2038,Jerome Avenue Men's Shelter - JAMS Bronix New York
2039,Susan's Place Shelter for Women Bronx New York
2040,Maya's Place Bronx New York
2041,Cromwell Ave Safe Haven Bronx NY Bronx New York
2042,Harmony House Shelter Danbury Connecticut
2043,	DOROTHY DAY HOSPITALITY HOUSE Danbury Connecticut
2044,New Street Homeless Shelter Danbury Connecticut
2045,City of Danbury Emergency Shelter Danbury Connecticut
2046,Franklin Women's Intake Shelter Bronx NY Bronx New York
2047,Jericho Overflow Homeless Shelter Danbury Connecticut
2048,The Living Room Drop In Center Bronx Bronx New York
2049,Bergen County Community Action Crisis Services  Hackensack New Jersey
2050,Prevention Assistance and Temporary Housing (PATH) Bronx New York
2051,Bergen County Human Services Center Hackensack New Jersey
2052,Borough of Ridgefield Welfare Department  - Assistance Ridgefield New Jersey
2053,The Landing Family Shelter Queens New York
2054,Lalitamba Saranam (Frederick's Place) New York New York
2055,Lalitamba Saranam New York New York
2056,Lalitamba Saranam New York New York
2057,Basics Housing Men's Shelter Manhattan New York New York
2058,Neighborhood Center for Homelessness New York New York
2059,Pam’s Place Shelter Long Island City New York
2060, 53rd Street Men’s Shelter  New York New York
2061,52nd Street Women's Center New  York 
2062,Salvation Army Union City Emergency Services Union City New Jersey
2063,Grand Central Neighborhood Social Services Corporation (GCNSSC) New York City New York
2064,PERC Shelter - Emergency Homeless Housing Union City New Jersey
2065,Metropolitan Community Church of New York New York New York
2066,Breaking Ground New York New York
2067,Covenant House  Crisis Shelter NYC New York New York
2068,Mainchance Drop-In Center New York New York
2069,Olivieri Drop-In Center New York New York
2070,Antonio Olivieri Drop-In Center New York New York
2071,Adult Family Intake Center (AFIC) Office New York New York
2072,New  York City 30th Street Intake For Homeless Men Manhattan New York
2073,Bellevue Men’s Shelter NY - HRA Men's Shelter New York New York
2074,Soup Soul - Holy Apostles Soup Kitchen New York City New York
2075,Catholic Charities of Newburgh NY Newburgh New York
2076,O’Toole Center for Family Services & Outreach New Yok New York
2077,Homes for the Homeless New York City New York
2078,The Hoboken Shelter Hoboken New Jersey
2079,St Lucy's Homeless Shelter Jersey City New Jersey
2080,Chapel House Shelter Auburn New York
2081,Auburn NY Rescue Mission Auburn New York
2082,Syracuse Rescue Mission Syracuse New York
2083,Salvation Army Syracuse Syracuse New York
2084,Oxford Street Inn Syracuse New York
2085,South West Center - Suffolk County Deer Park New York
2086,Haven House Bridges Emergency Family Housing Brentwood 
2087,Destiny Village - Transitional Housing West Babylon New York
2088,Smithtown Center - Suffolk County Hauppauge New York
2089,Coram Center - Suffolk County NY Coram New York
2090,The Veterans Place Yaphank New York
2091,Nassau County Department of Social Services  Uniondale 
2092,Interfaith Nutrition Network - Mary Brennan INN Hempstead New York
2093,Restfull Nights Organization Inc. Jamaica New York
2094,Jamaica Armory Shelter For Women Jamaica New York
2095,Van Siclen Women's Shelter (Samartan Village) Brooklyn  New York
2096,HELP Women's Shelter New York City Brooklyn New York
2097,Barbara Kleiman Shelter Brooklyn New York
2098,Magnolia House - Women's Shelter Brooklyn New York
2099,Atlantic House Men's Shelter Brooklyn New York
2100,The Gathering Place Drop In Center Brooklyn New York
2101,Broadway House Women’s Shelter Brooklyn New York
2102,Providence House Brooklyn New York
2103,Providence House For Pregnant Women And Children Brooklyn New York
2104,Ready Willing and Able Brooklyn New York
2105,3rd Street Men's Shelter New York New York
2106,Auburn Family Residence Fort Greene Brooklyn New York
2107,Bowery Mission New York City New York
2108,Opportunity House Men's Shelter Brooklyn New York
2109,Tillary Street Women's Shelter Brooklyn New York
2110,New York City Rescue Mission - NYCRM New York City New York
2111,One Step Forward Shelter Place  New York  New York
2112,CAMBA Park Slope Women's Shelter Brooklyn New York
2113,URI NYC - Urban Resource Institute New York New York
2114,York Street Project Jersey City New Jersey
2115,Hope House Jersey City Jersey City New Jersey
2116,BEOF Community Action Partnership Emergency Services Bayonne New Jersey
2117,Community Service Program Assistance Passaic New Jersey
2118,Hope Through Care Clifton New Jersey
2119,Shelter for Single Adults Newark New Jersey
2120,Apostles' House Emergency Shelter Newark New Jersey
2121,Project Hospitality Staten Island New York
2122,Helping The homeless III LLC Newark New Jersey
2123,Goodwill Rescue Mission Inc. Newark New Jersey
2124,Peace House Inc. Newark New Jersey
2125,Newark Emergency Services for Families  Inc Newark New Jersey
2126,Covenant House New Jersey Newark NEWARK New Jersey
2127,St. Paul's Community Development Corp - Emergency Men's Shelter Paterson New Jersey
2128,Passaic County Interfaith Hospitality Network Paterson New Jersey
2129,"Eva's Village Shelter, Addiction Treatment, Soup Kitchen Paterson New Jersey"
2130,Family Promise of Bergen County Ridgewood New Jersey
2131,Sheltering Arms Affordable Housing For Homeless Families Paterson New Jersey
2132,Hill Top Haven Family Shelter Paterson New Jersey
2133,Family Promise of Monmouth County Food and Shelter Services Middletown New Jersey
2134,Volunteers of America Family Shelter Binghamton New York
2135,Binghamton Rescue Mission Binghamton New York
2136,Operation Hope of Fairfield Fairfield Connecticut
2137,Prospect House Bridgeport Connecticut
2138,Bridgeport Rescue Mission - Shelter for Single Adult Men  Bridgeport Connecticut
2139,Salvation Army Cornerstone Shelter Montclair New Jersey
2140,Safe House Shelter For Victims of Domestic Violence Bloomfield New Jersey
2141,REAL House Inc. Juniper House Montclair New Jersey
2142,Real House Inc Women Shelter in Montclair New Jersey Montclair New Jersey
2143,Emergency Housing Services/ Urban Renewal Corp Myrtle Avenue Newark New Jersey
2144,Essex County Citizen Service - Emergency Assistance East Orange New Jersey
2145,Path - Homeless Case Management East Orange New Jersey
2146,Open Door Mission Rochester New York
2147,Francis Center Men's Shelter Rochester New York
2148,Genesis House Rochester New York
2149,Emergency Housing Services/ Urban Renewal Corp Washington Street Newark New Jersey
2150,Harmony House Transitional Living Facility Newark New Jersey
2151,Emergency Housing Services/ Urban Renewal Corp South 16th Street Newark 
2152,ANSWERS Moving Forward Inc. newark New Jersey
2153,Village for Humanity Homeless Services irvington New Jersey
2154,Gospel Services Benevolent Society Inc Irvington New Jersey
2155,Elizabeth Coalition to House the Homeless  Elizabeth New Jersey
2156,Salvation Army Emergency Shelter - Elizabeth Shelter Elizabeth New Jersey
2157,YMCA of Eastern Union County Shelter Elizabeth New Jersey
2158,Salvation Army Emergency Assistance Union New Jersey
2159,"State Street Transitional Housing, Perth Amboy Perth Amboy New Jersey"
2160,Salvation Army Perth Amboy Shelter Jermeiah's Refuge Perth Amboy New Jersey
2161,Jeremiah's Refuge Emergency Shelter Perth Amboy New Jersey
2162,Turning Point Community Services - Support Services Maplewood New Jersey
2163,Trinity Soup Kitchen (Woodbridge) Trinity Episcopal Church Woodbridge New Jersey
2164,180 Turning Lives Around Hazlet New Jersey
2165,Warmth in the Night Honesdale Pennsylvania
2166,Tri State Warming Station  Port Jervis New York
2167,Rome Rescue Mission Rome New York
2168,Darmstadt Shelter Kingston New York
2169,Family Inn Kingston New York
2170,FAMILY House - Short-term Shelter Rosendale New York
2171,Bethlehem House I & II Stratford Connecticut
2172,Seaview Apartments Bridgeport Connecticut
2173,YMCA - CENTRAL CONNECTICUT COAST Emergency Family Shelter Bridgeport Connecticut
2174,BETH-EL CENTER Milford Connecticut
2175,Bridgeport Rescue Mission - Shelter for Single Adult Women Bridgeport Connecticut
2176,Shelter for Homeless Mothers with Children ages 5 and under Bridgeport Connecticut
2177,Domestic Violence Services / Saratoga Rape Crisis program Saratoga Springs New York
2178,Mother Susan Anderson - Women and Children Emergency Shelter Saratoga Springs New York
2179,Opportunities for Otsego Emergency Housing Shelter Oneonta New York
2180,Rescue Mission of Utica Utica New York
2181,Riverhead Center - Suffolk County Department of Social Services (DSS) Riverhead New York
2182,Second Place East Homeless Shelter Elmira New York
2183,TIOGA Tioga County Human Services Wellsboro Pennsylvania
2184,Ithaca Rescue Mission Ithaca New York
2185,Safe House of Chautauqua County Jamestown  New York
2186,WARREN Economic Opportunity Council Warren Pennsylvania
2187,NEW MILFORD SHELTER COALITION New Milford Connecticut
2188,Hudson River Lodging - Gannett House Program Poughkeepsie New York
2189,"Hudson River Housing,Inc.River Haven Youth Shelter Poughkeepsie New York"
2190,Webster House Emergency Housing Poughkeepsie New York
2191,Department of Community and Family Services (DCFS) Poughkeepsie New York
2192,HONOR - Helping Others Needing Our Resources  Middletown New York
2193,BRADFORD Bradford County Human Services Towanda Pennyslvania
2194,Epiphany House Transitional Substance Abuse Women's Recovery Asbury Park New Jersey
2195,Hope House for Families Erie Pennsylvania
2196,The Refuge Erie Pennsylvania
2197,Project Hope - Outreach Services Erie Pennsylvania
2198,St. Patrick’s Haven Erie Pennsylvania
2199,Community of Caring Erie Pennsylvania
2200,City Mission New Life Center Erie Pennsylvania
2201,ERIE Erie County Department of Human Services Erie Pennsylvania
2202,Community Shelter Services Erie Pennsylvania
2203,Liberty House Erie Pennsylvania
2204,WAIT House Glens Falls New York
2205,WAIT House Glen Falls New York
2206,Open Door Mission Glens Falls New York
2207,Barnabas House Homeless Shelter and Services Malone  New York
2208,Strengthen Our Sisters Emergency Shelter Hewitt New Jersey
2209,Amazing Grace Mission Sussex New Jersey
2210,PIKE Pike County Administration Building Milford Pennsylvania
2211,Samaritan Inn Emergency Homeless Shelter Program  Franklin New Jersey
2212,Sussex County Homelessness Program Newton New Jersey
2213,COVENANT SHELTER OF NEW LONDON New London Connecticut
2214,NEW LONDON HOMELESS HOSPITALITY CENTER New London Connecticut
2215,W.A.R.M. SHELTER Westerly Rhode Island
2216,Genesis House of Olean Inc. Olean New York
2217,McKEAN McKean County YWCA Bradford Pennsylvania
2218,POTTER Potter County Human Services North Street Roulette Pennsylvania
2219,BTV SHELTER - ANEW Place Burlington Vermont
2220,ANEW Place Burlington Vermont
2221,The Committee on Temporary Shelter - Daystation and Waystation Burlington Vermont
2222,COTS Family Shelters Burlington Vermont
2223,Samaritan House St Albans St Albans Vermont
2224,Columbus House New Haven Connecticut
2225,COLUMBUS HOUSE New Haven Connecticut
2226,Martha's Place New Haven Connecticut
2227,CareWays New Haven Connecticut
2228,COLUMBUS HOUSE - OVERFLOW SHELTER  New Haven Connecticut
2229,Hillside Family Shelter New Haven Connecticut
2230,Christian Community Action Inc New Haven Connecticut
2231,Emergency Shelter Management Services New Haven Connecticut
2232,Life Haven Shelter New Haven Connecticut
2233,Samaritan Inn Newton Newton New Jersey
2234,Ozanam Family Shelter Edison New Jersey
2235,Ozanam Men's Shelter New Brunswick New Jersey
2236,Women Aware - Domestic Violence Shelter New Brunswick New Jersey
2237,Naomi's Way Transitional Housing New Brunswick New Jersey
2238,Interfaith Council for Homeless Families of Morris County Morristown New Jersey
2239,Market Street Mission of Morristown Morristown New Jersey
2240,Salvation Army Morristown Emergency Assistance Morristown New Jersey
2241,Our Place Day Shelter Morristown New Jersey
2242,"Homeless Solutions, Inc. Cedar Knolls New Jersey"
2243,John W. Graham Shelter Vergennes Vermont
2244,Noble House Ministries - Pilot House Albion Indiana
2245,IFM Lighthouse Columbia City Indiana
2246,Road to Recovery - Halfway House Fort Wayne Indiana
2247,Charis House - Rescue Mission Fort Wayne Indiana
2248,Shepherds House Fort Wayne Indiana
2249,Fort Wayne Rescue Mission Fort Wayne Indiana
2250,Salvation Army Rehab Center Fort Wayne Indiana
2251,Just Neighbors IHN Fort Wayne Indiana
2252,Victory House  Fort Wayne Indiana
2253,Ave Marie House - Day Shelter Fort Wayne Indiana
2254,Freedom House Inc. - Halfway House Fort Wayne Fort Wayne Indiana
2255,YWCA Shelter for Women Victims of Violence Fort Wayne Indiana
2256,"The Rose Home, Inc Fort Wayne Indiana"
2257,Genesis Outreach Fort Wayne Indiana
2258,Vincent Village Fort Wayne Indiana
2259,Bountiful Harvest Ministries - Beauty For Ashes Transitional Home Alexandria Indiana
2260,Elwood Community Food Pantry ELWOOD Indiana
2261,"The Christian Center, Inc. Anderson Indiana"
2262,The Christian Center Anderson Indiana
2263,Stepping Stones for Veterans Anderson Indiana
2264,Alternatives Incorporated Anderson Indiana
2265,Muncie Mission Muncie Indiana
2266,A Better Way Muncie Indiana
2267,Christian Ministries of Deleware County Family Shelters Muncie Indiana
2268,YWCA of Muncie Muncie Indiana
2269,Grant County Rescue Mission Marion Indiana
2270,Third Phase Noblesville Indiana
2271,Christian Love Help Center Women's Shelter New Castle Indiana
2272,Hancock Hope House Homeless Shelter Greenfield Indiana
2273,Turning Point Homeless Shelter Angola Indiana
2274,Family Promise of Branch County Coldwater Michigan
2275,Heart House Inc. Aurora Indiana
2276,Bethany House Services Cincinnati Ohio
2277,City Gospel Mission Cincinnati Ohio
2278,David and Rebecca Barron Center for Men Cincinnati Ohio
2279,Grace Place Cincinnati Cincinnati Ohio
2280,Fairhaven Rescue Mission Covington Kentucky
2281,Welcome House Shelter Covington Kentucky
2282,Tender Mercies Cincinnati Ohio
2283,YWCA of Greater Cincinnati  (Women) Shelter and Transitional Housing Cincinnati Ohio
2284,Cincinnati Homeless Coalition Cincinnati Ohio
2285,Emergency Shelter of Northern Kentucky COVINGTON Kentucky
2286,Homeward Bound Shelter Covington Kentucky
2287,Esther Marie Hatton Center for Women Cincinnati Ohio
2288,Serve City Chosen Hamilton Ohio
2289,Family Promise of Butler County Hamilton Ohio
2290,Haven House Hamilton Ohio
2291,Family Promise of Hendricks County Avon Indiana
2292,Holy Family Emergency Shelter Indianapolis Indiana
2293,WOW - Women of Worth Transition Home Indianapolis Indiana
2294,Redemption Outreach Service Indianapolis Indiana
2295,Wheeler Mission Ministries Indianapolis Indiana
2296,"Julian Center, Inc./ Sojourner Indianapolis Indiana"
2297,The Salvation Army Family Service Center Indianapolis Indiana
2298,Salvation Army Women's Shelter Indianapolis Indiana
2299,Dayspring Center Family Emergency Shelter Indianapolis Indiana
2300,Horizon House Indianapolis 
2301,Good News Mission Indianapolis Indiana
2302,Wellspring Center Martinsville Indiana
2303, Becky's Place For Women and Children Bedford 
2304,Shalom Community Center Bloomington Indiana
2305,Middle Way House Bloomington Indiana
2306,Wheeler Mission Ministries Center for Women And Children Bloomington Indiana
2307,Amethyst House Bloomington Indiana
2308,Gateway Ministries Grace Haven Paoli Indiana
2309,Hossier Hills Domestic Violence Center - Hoosier Hills PACT Salem Indiana
2310,Monroe United Methodist Church Bread of Life Food Pantry Monroe Indiana
2311,Adams Wells Crisis Center Inc Decatur Indiana
2312,Bethany House Homeless Shelter Terre Haute Indiana
2313,Light House Mission Terre Haute Indiana
2314,C.O.D.A. Family Crisis Center Terre Haute Indiana
2315,Family Support Services of West Central Indiana  Greencastle Indiana
2316,Beyond Homeless Inc Greencastle Indiana
2317,Another Chance Christ Ministries Vincennes Indiana
2318,Gabriel's Horn Homeless Shelter Valparaiso Indiana
2319,Gabriel's Horn Homeless Shelter Portage Indiana
2320,New Creation Men's Center Valparaiso Indiana
2321,Housing Opportunities Housing For Homeless Valparaiso Indiana
2322,Spring Valley Homeless Shelter Valparaiso Indiana
2323,Dayspring Women's Center Valparaiso Indiana
2324,The Caring Place Domestic Violence Shelter Valparaiso Indiana
2325,Sand Castle Shelter for Homeless Families Michigan City Indiana
2326,Interfaith Community PADS - Winter Seasonal Shelter Michigan City Indiana
2327,Stepping Stone Shelter for Women Michigan City Indiana
2328,The Rainbow- Ark Shelter - Gary Commission for Women Gary Indiana
2329,Brother's Keeper Homeless Shelter Gary Indiana
2330,The Center for Women and Families New Albany Indiana
2331,The Healing Place Louisville Kentucky
2332,Wayside Christian Mission Shelter Louisville Kentucky
2333,Re-Center Ministries Louisville Campus Louisville Kentucky
2334,"Rhonda's Another Chance, Inc. - Transitional Housing Louisville Kentucky"
2335,The Center for Women and Families Louisville Kentucky
2336,The Center For Women and Families MD Campus Louisville Kentucky
2337,Halfway Back Men's Addiction Recovery Program - Louisville Louisville Kentucky
2338,Women In Circle Louisville Kentucky
2339,Interlink Counseling Services INC. Louisville Kentucky
2340,Room in the Inn - Bullitt County Mount Washington Kentucky
2341,Sovereign Grace Baptist Church Scottsburg 
2342,Warsaw Homeless Shelter Warsaw Indiana
2343,The Beaman Home Warsaw Indiana
2344,Turning Point Domestic Violence Services Columbus Indiana
2345,Alley Kitchen - Free Meals Seymour Indiana
2346,Community Diner of Seymour Seymoure Indiana
2347,Anchor House Family Emergency Shelter Seymour Indiana
2348,Wayside Inn Shelter North Vernon Indiana
2349,Hope House Halfway House Richmond Indiana
2350,YWCA - Genesis Shelter Richmond Indiana
2351,Family Crisis Shelter Crawfordsville Indiana
2352,Helping Hands Outreach Center Manchester New Hampshire
2353,YWCA Women's Shelter Lafayette Indiana
2354,LUM Emergency Shelter Lafayette Indiana
2355,Lafayette Transitional Housing Center Lafayette Indiana
2356,NorthStar Homes Sauk Village Illinois
2357,Respond Now Chicago Heights Illinois
2358,South Suburban PADS SOUTH TIER Chicago Heights Illinois
2359,HRDI Women's Supportive Housing Chicago Illinois
2360,A Little Bit of Heaven Homeless Mens Overnight Shelter Chicago Illinois
2361,Kingdom Residential Housing Calumet Park Illinois
2362,Believe shelter (Institution for women and kids) Chicago Illinois
2363,Roseland Christian Ministries Grow Program Chicago Illinois
2364,Maria Shelter Chicago Illinois
2365,St. Martin de Porres House of Hope  - For Women Chicago Illinois
2366,You Can Make It - Family Shelter Chicago Illinois
2367,Family Service Association of Howard County Kokomo Indiana
2368,Coordinated Assistance Ministries Inc Kokomo Indiana
2369,Kokomo Rescue Mission Kokomo Indiana
2370,Safe Haven Elkhart Indiana
2371,Faith Mission of Elkhart Elkhart Indiana
2372,Goshen Interfaith Hospitality Network Goshen Indiana
2373,Center for the Homeless South Bend Indiana
2374,Evansville Rescue Mission Evansville Indiana
2375,United Caring Shelter Evansville Indiana
2376,YWCA Battered Women's Shelter Evansville Indiana
2377,Ozanam Family Shelter Evansville Indiana
2378,Harbor House Christian Center Henderson Kentucky
2379,Sanctuary of Williams County Shelter Bryan Ohio
2380,Crisis Connection Jasper Indiana
2381,Pacific Garden Mission - Shelter Chicago Illinois
2382,Darkim Responsible Living for Women Inc Nfp Chicago Illinois
2383,A Safe Haven Foundation Chicago Illinois
2384,Franciscan Outreach Chicago Illinois
2385,Deborah's Place Chicago Illinois
2386,The Night Ministry - Open Door Shelter Chicago Illinois
2387,Lincoln Park Community Services - Homeless Shelter Chicago Illinois
2388,The Boulevard Chicago Illinois
2389,The Salvation Army Freedom Center Chicago Illinois
2390,Primo Center For Women And Children Chicago Illinois
2391,The Salvation Army Shield of Hope Chicago Chicago Illinois
2392,La Posada Family Shelter - Casa Central Chicago Illinois
2393,La Casa Norte - Casa Corazon Emergency Beds Program Chicago Illinois
2394,Broadway Youth Center Chicago 
2395,Cornerstone Community Outreach Chicago Illinois
2396,Sarah's Circle Chicago Illinois
2397,North Side Housing and Supportive Services Chicago Illinois
